,Unnamed: 0,Words,Meanings,Trend
105,105.0,contumacious,willfully disobedient,
106,106.0,convoluted,complicated,
107,107.0,corpulent,excessively fat,
108,108.0,corroborate,to confirm or support with evidence,
109,109.0,cosset,to pamper,
110,110.0,coterie,an exclusive group of people; a clique,
111,111.0,craven,cowardly,
112,112.0,crescendo,peak of growth,
113,113.0,culpable,worthy of blame,
114,114.0,cumbersome,"clumsy, awkward, and heavy",
115,115.0,cupidity,excessive greed,
116,116.0,curmudgeon,"cranky, difficult person",
117,117.0,cynical,distrusting and pessimistic,
118,118.0,dalliance,the deliberate act of delaying and playing instead of working,
119,119.0,daunt,to cause to lose courage,
120,120.0,dearth,a lack in supply,
121,121.0,debunk,to prove untrue,
122,122.0,debutante,a young woman making her debut into society,
123,123.0,declivity,a downward slope,
124,124.0,decourous,proper and dignified,
125,125.0,deject,to lower someone's spirits; make downhearted,
126,126.0,deleterious,harmful,
127,127.0,delineate,to outline,
128,128.0,demagogue,a political leader who seeks support by appealing to popular passions and prejudices,
129,129.0,demarcate,"to set, mark, or draw the boundaries of something",
130,130.0,demur,to object,
131,131.0,denigrate,to damage the reputation of,
132,132.0,derelict,"a person without a home, job, or property",
133,133.0,deride,to ridicule,
134,134.0,derivative,something that came from an original,
135,135.0,desiccate,to dry up,
136,136.0,despoiler,a person who steals goods,
137,137.0,despot,a ruler with complete power,
138,138.0,destitute,"completely wanting or lacking (usually money, food, and shelter)",
139,139.0,desultory,disconnected and random,
140,140.0,diaphanous,sheer; nearly translucent,
141,141.0,diatribe,bitter criticism; verbal attack,
142,142.0,dictum,a formal statement,
143,143.0,didactic,educational,
144,144.0,diffident,shy; reserved,
145,145.0,dilatory,intending to delay,
146,146.0,dilettante,a person who engages in an activity (such as art) without serious intentions or inquiry,
147,147.0,dirge,a funeral song,
148,148.0,disabuse,to free someone from false ideas,
149,149.0,discern,to perceive or understand with sight or other senses,
150,150.0,disdain,a lack of respect accompanied by a feeling of intense dislike,
151,151.0,disenfranchise,to deprive of voting rights,
152,152.0,disillusion,to free from false beliefs,
153,153.0,disingenuous,insincere,
154,154.0,disparage,to belittle or criticize,
155,155.0,disparate,different and distinct,
156,156.0,dissembler,a person who conceals his real feelings by professing false beliefs,
157,157.0,disseminate,to spread widely,
158,158.0,dissonance,"harsh, jarring sound",
159,159.0,distaff,the female part of a family,
160,160.0,dither,to be indecisive,
161,161.0,diurnal,daily; daytime,
162,162.0,divert,to turn away from a course,
163,163.0,divine,to predict using supernatural means,
164,164.0,doctrinaire,impractical; insistent about one's own theory,
165,165.0,dogmatic,characterized by assertion of unproved or unprovable princples,
166,166.0,draconian,harsh and severe,
167,167.0,droll,amusing; comical,
168,168.0,dubious,doubtful; questionable,
169,169.0,dupe,to deceive,
170,170.0,dyspeptic,irritable and gloomy,
171,171.0,earnest,serious; sincere,
172,172.0,ebullient,extremely excited or enthusiastic,
173,173.0,eclectic,made up of choices from diverse sources,
174,174.0,edify,to benefit by instruction,
175,175.0,efficacious,effective,
176,176.0,effigy,a representation of someone,
177,177.0,effrontery,shameless boldness,
178,178.0,effusive,excessive enthusiasm or emotion,
179,179.0,egalitarian,characterized by the belief in equal rights for all people,
180,180.0,egregious,outrageously bad or offensive,
181,181.0,elegy,a sad poem or song,
182,182.0,elicit,to call or bring out,
183,183.0,eloquent,expressing oneself powerfully and effectively,
184,184.0,elucidate,to make clear by explanation,
185,185.0,embroil,to bring into an argument or negative situation,
186,186.0,eminent,distinguished and prominent,
187,187.0,emissary,a person sent on a mission to represent the interest of someone else,
188,188.0,emollient,"that which has a softening or soothing effect, especially to the skin",
189,189.0,empirical,resulting from an experiment,
190,190.0,emulate,to imitate in order to match or excel,
191,191.0,encomium,high praise,
192,192.0,endemic,natural to a local area,
193,193.0,enervated,lacking strength or vigor,
194,194.0,engender,to produce,
195,195.0,enigma,a puzzle,
196,196.0,ennui,boredom,
197,197.0,enumerate,to count; to name one by one,
198,198.0,ephemeral,lasting a very short time,
199,199.0,epicure,"a person with refined tastes, particularly of food and wine",
200,200.0,epistolary,relating to letters,
201,201.0,equanimity,steadiness of mind under stress,
202,202.0,equivocal,uncertain; open to multiple interpretations,
203,203.0,ersatz,artificial; serving to substitute,
204,204.0,erudition,knowledge gained from study,
205,205.0,eschew,to avoid; to shun,
206,206.0,esoteric,intended for a select group of people; secret or confidential,
207,207.0,espouse,to adopt or marry (such as an idea or cause),
208,208.0,ethos,the spirit or attitude of a group,
209,209.0,eulogy,a formal expression of praise (often delivered at funerals),
210,210.0,euphemism,an inoffensive word or phrase used in place of one that is hurtful or harsh,
211,211.0,euphony,pleasant sound,
212,212.0,evanescent,vanishing,
213,213.0,exacerbate,to increase the harshness or bitterness of,
214,214.0,exasperate,to intensely irritate,
215,215.0,exculpate,to clear from blame,
216,216.0,exegesis,an explanation or critical interpretation (especially of the Bible),
217,217.0,exigent,urgent; demanding,
218,218.0,exonerate,to clear from blame,
219,219.0,exorbitant,greatly exceeding bounds of reason or moderation,
220,220.0,expatriate,"a person who lives outside his own country, often to renounce allegiance",
221,221.0,explicator,a person who explains or interprets,
222,222.0,explicit,clearly expressed or demonstrated,
223,223.0,exponent,one who explains or interprets,
224,224.0,expurgate,to revise by removing offensive text; to purify by cleansing,
225,225.0,extemporaneous,done without advance prepartion,
226,226.0,extol,to praise highly,
227,227.0,extraneous,not relevant or essential,
228,228.0,exuberant,"overflowing, especially with joy",
229,229.0,facetious,not intended to be taken seriously,
230,230.0,fallacy,a false idea,
231,231.0,fallible,capable of making mistake,
232,232.0,fallow,not in use,
233,233.0,fastidious,giving careful attention to detail; hard to please,
234,234.0,fatuous,foolish and silly,
235,235.0,fawn,to seek attention through flattery,
236,236.0,fecund,productive; fruitful,
237,237.0,felicity,pleasing and appropriate style; happiness,
238,238.0,fervid,hot or passionate,
239,239.0,fetid,stinky; smelling of decay,
240,240.0,flippant,disrespectful; lacking seriousness,
241,241.0,flotsam,"floating wreckage or useless, discarded items",
242,242.0,foible,a minor flaw or weakness of character,
243,243.0,fomentation,a push for trouble or rebellion,
244,244.0,foppish,affecting extreme elegance in dress and manner,
245,245.0,ford,a shallow portion of a river used for crossing,
246,246.0,formidable,causing fear due to powerful strength,
247,247.0,fortuitous,fortunate; by chance,
248,248.0,foster,to encourage or care for,
249,249.0,fractious,unruly; irritable,
250,250.0,frenetic,frantic,
251,251.0,frivolous,not serious; silly,
252,252.0,frugal,characterized by the avoidance of excessive spending,
253,253.0,fulminate,to explode loudly or to loudly pronounce,
254,254.0,furtive,sneaky,
255,255.0,gambol,to skip and frolic,
256,256.0,garner,to earn or to collect,
257,257.0,garrulous,excessively talkative or wordy,
258,258.0,genial,polite and friendly,
259,259.0,germane,related to; relevant,
260,260.0,glib,"fluent and talkative, often insincerely so",
261,261.0,glower,to stare with dislike or anger,
262,262.0,gradation,gradual or successive changes,
263,263.0,gratuitous,free; given without reason,
264,264.0,gregarious,sociable,
265,265.0,grievous,causing grief or very serious,
266,266.0,grovel,lowering oneself as in asking forgiveness or showing respect,
267,267.0,guile,a skillful deception,
268,268.0,gustatory,relating to the sense of taste,
269,269.0,hackneyed,repeated too often; overfamiliar through overuse,
270,270.0,halcyon,"joyful, peaceful, or prosperious",
271,271.0,hapless,unlucky,
272,272.0,harangue,"a long, pompous speech",
273,273.0,hedonist,a person dedicated to the pursuit of pleasure,
274,274.0,hegemony,leadership,
275,275.0,heretical,characteristic of an opinion at odds with accepted beliefs,
276,276.0,hermetic,isolated and protected,
277,277.0,histrionic,overly dramatic,
278,278.0,hoary,old or stale,
279,279.0,hubris,pride; arrogance,
280,280.0,husband,to manage wisely or thriftily,
281,281.0,iconoclast,a person who attacks cherished ideas or traditional institutions,
282,282.0,idiosyncrasy,a characteristic that is peculiar to a specific person,
283,283.0,idolatrious,great adoration,
284,284.0,ignoble,dishonorable; common,
285,285.0,ignominious,disgraceful and shameful,
286,286.0,illusory,creating illusions; deceiving,
287,287.0,imbue,to inspire,
288,288.0,immutable,unchangeable,
289,289.0,impasse,blacked progress; deadlock,
290,290.0,impecunious,poor,
291,291.0,imperturbable,calm; incapable of agitation,
292,292.0,impervious,not capable of being affected,
293,293.0,impetuous,impulsive,
294,294.0,impious,"lacking respect or devotion, usually for a god or religion",
295,295.0,implacable,incapable of being pacified or appeased,
296,296.0,implicit,implied though not directly expressed,
297,297.0,imprecation,a curse,
298,298.0,impugn,to attack as false or wrong,
299,299.0,impute,to attribute or credit it,
300,300.0,incarnadine,red or pink; flesh-colored,
301,301.0,inchoate,in the early stages of development,
302,302.0,incipient,beginning; just starting,
303,303.0,incontrovertible,unquestionable; impossible to deny,
304,304.0,incorrigible,incapable of being corrected or punished,
305,305.0,incredulous,skeptical; not willing to believe,
306,306.0,inculcate,to teach through persistent repetition,
307,307.0,indigenous,native to,
308,308.0,indignant,displaying anger due to unfairness,
309,309.0,indolent,lazy,
310,310.0,ineffable,incapable of being put into words,
311,311.0,inerlocutor,a person who takes part in a conversation,
312,312.0,inexorable,unyielding,
313,313.0,ingenious,clever and inventive,
314,314.0,ingenue,"an artless, innocent young girl (especially as portrayed on the stage)",
315,315.0,ingrate,an ungrateful person,
316,316.0,ingratiate,to put oneself in another's good graces,
317,317.0,inherent,existing as a natural and essential characteristic,
318,318.0,inimical,harmful or hostile,
319,319.0,iniquity,wickedness,
320,320.0,innocuous,harmless,
321,321.0,insidious,"intended to entrap, deceive, or harm",
322,322.0,insipid,"bland, dull, or uninteresting",
323,323.0,insolence,rudeness,
324,324.0,insular,narrow-minded; isolated,
325,325.0,insurrection,a rebellion or uprising,
326,326.0,inter,to bury,
327,327.0,interregnum,a period of time free from authority,
328,328.0,intractable,stubborn; difficult to manage,
329,329.0,intransigent,refusing to yield or compromise,
330,330.0,inundate,to flood,
331,331.0,inure,to become used to,
332,332.0,invective,violent criticism,
333,333.0,inveigle,to persuade with smooth talk,
334,334.0,investiture,ceremony for bestowing an official title,
335,335.0,invidious,"intended to hurt, offend, or discriminate",
336,336.0,invoke,to summon into action or bring into existence,
337,337.0,irascible,quickly aroused to anger,
338,338.0,itinerant,traveling from place to place to work,
339,339.0,jettison,to throw away,
340,340.0,jingoism,noisy and excessive patriotism for one's country,
341,341.0,jocular,characterized by joking,
342,342.0,jucture,a critical point in time,
343,343.0,juxtapose,to place side by side,
344,344.0,keen,"sharp as in a point, or sharp as in intelligence",
345,345.0,kindle,to light up or to excite,
346,346.0,kinetic,characterized by motion,
347,347.0,knell,sound of a bell at a funeral or a sign of looming death or destruction,
348,348.0,lachrymose,tearful; sad,
349,349.0,laconic,expressing much in few words,
350,350.0,lament,to express grief; to mourn,
351,351.0,lampoon,to mock in a satire,
352,352.0,languid,lacking in energy or spirit,
353,353.0,lapidary,relating to polished stones; characterized by exactness and extreme polishing,
354,354.0,largess,generous gift-giving,
355,355.0,lassitude,lack of energy; weariness,
356,356.0,latent,existing but not visible or obvious,
357,357.0,laud,"to praise, glorify, or honor",
358,358.0,lavish,very generous or extravagant,
359,359.0,legerdemain,trickery; sleight of hand,
360,360.0,levity,inappropriate lack of seriousness,
361,361.0,lexicography,the act of writing dictionaries,
362,362.0,liberate,free; unrestrained,
363,363.0,libertine,unrestrained by morals,
364,364.0,licentious,unrestrained by morals,
365,365.0,limpid,clear; calm,
366,366.0,lissome,flexible,
367,367.0,listless,lacking energy or spirit,
368,368.0,loquacious,extremely talkative,
369,369.0,lucid,clear; easy to understand,
370,370.0,lugubrious,excessively mournful; sad and gloomy,
371,371.0,luminous,radiating light; enlightening; easily understood,
372,372.0,machination,a crafty plot,
373,373.0,maelstrom,a powerful whirlpool or turbulent chaos,
374,374.0,magnanimous,noble and generous in spirit,
375,375.0,magnate,an important person in a field of business,
376,376.0,malediction,a curse,
377,377.0,malevolent,evil,
378,378.0,malice,a desire to make others suffer,
379,379.0,malinger,to fake an illness to avoid responsibility,
380,380.0,malleable,capable of being shaped or influenced,
381,381.0,malodorous,having an unpleasant smell,
382,382.0,mar,to make imperfect; to disfigure,
383,383.0,martial,relating to war,
384,384.0,martinet,a person who rigidly demands that rules are followed; a strict disciplinarian,
385,385.0,matriarch,the female head of a family,
386,386.0,maudlin,foolishly emotional,
387,387.0,maverick,a person who choose to be independent in behavior or thought,
388,388.0,melange,a mixtue,
389,389.0,mendacious,"lying, false, or untrue",
390,390.0,mendicant,begging,
391,391.0,mercurial,apt to change; volatile; lively,
392,392.0,meretricious,insincere; flashily attractive,
393,393.0,meritocracy,a form of social system in which power goes to those with superior abilities,
394,394.0,meticulous,extremely careful and precise with details,
395,395.0,militate,to have substantial influence,
396,396.0,mirth,laughter or merriment,
397,397.0,misanthrope,a person who hates and distrusts mankind,
398,398.0,miscreant,a person who is evil or villainous,
399,399.0,miser,a stingy person who lives in miserable conditions in order to save money,
400,400.0,missive,a letter,
401,401.0,mitigate,to make less intense or severe,
402,402.0,mollify,to soften or soothe,
403,403.0,molt,to shed feathers,
404,404.0,monastic,relating to monasteries or relating to a dedicated way of life,
405,405.0,morass,a swamp; difficult situation,
406,406.0,moratorium,suspension of an ongoing activity,
407,407.0,mores,important customs or beliefs of a group,
408,408.0,morose,gloomy,
409,409.0,multifarious,having many parts and much variety,
410,410.0,mundane,ordinary and somewhat boring,
411,411.0,munificent,very generous,
412,412.0,myopic,lacking long-term vision,
413,413.0,nadir,the lowest point,
414,414.0,naive,inexperienced and gullible,
415,415.0,narcissist,a person who has excessive love or admiration of oneself,
416,416.0,nascent,being born or beginning,
417,417.0,nebulous,vague or cloudy,
418,418.0,nefarious,extremely wicked,
419,419.0,neologism,a new word,
420,420.0,neophyte,a beginner,
421,421.0,nettle,to irritate,
422,422.0,nihilism,belief in the rejection of rules and the destruction of social and political order,
423,423.0,noisome,offensive (especially odors),
424,424.0,nominal,in name only; minimal,
425,425.0,noxious,harmful,
426,426.0,nuance,a subtle difference,
427,427.0,numismatic,pertaining to coins or medals,
428,428.0,obdurate,stubborn,
429,429.0,obfuscate,to confuse or make unclear,
430,430.0,oblique,slanting; not straight; indirect or evsive,
431,431.0,obscure,not clearly understood or expressed,
432,432.0,obsequious,overly flattering or obedient,
433,433.0,obstinate,extremely stubborn,
434,434.0,obstreperous,noisily defiant or aggressive,
435,435.0,obstructionist,a person who purposely blocks progress,
436,436.0,obtuse,intellectually slow; dull,
437,437.0,obviate,to prevent any perceived difficulty,
438,438.0,occlude,to shut or block,
439,439.0,odious,offensive; hateful,
440,440.0,officious,aggressively forward,
441,441.0,ominous,threatening or foreshadowing evil,
442,442.0,onerous,oppressive; burdensome,
443,443.0,opaque,not clear; not allowing light to pass through,
444,444.0,opine,to express an opinion,
445,445.0,opprobrium,disgrase or severe criticism due to shameful behavior,
446,446.0,opulent,rich and luxurious,
447,447.0,oration,a formal speech,
448,448.0,ornate,highly decorated,
449,449.0,orotund,a rich voice or pompous speech,
450,450.0,orthodox,customary; traditional,
451,451.0,ossify,to harden like bone; to become inflexible in habits or beliefs,
452,452.0,ostensible,pretended,
453,453.0,overt,open and observable; not secret or hidden,
454,454.0,overwrought,extremely excited or disturbed,
455,455.0,pacify,to calm; to bring peace,
456,456.0,paean,a song of praise,
457,457.0,palatial,like a palace; magnficient,
458,458.0,palliate,to relieve or lessen,
459,459.0,pallid,pale; lacking energy,
460,460.0,panacea,"a cure for all diseases, or a solution to all problems",
461,461.0,panache,"dashing style, flair, or manner",
462,462.0,panegyric,a formal expression of praise,
463,463.0,panoply,complete or impressive array,
464,464.0,paradox,a statement that contradicts itself but nevertheless may still be true,
465,465.0,paragon,a perfect example,
466,466.0,parenthetical,characterized by the use of parenthesis,
467,467.0,pariah,a person who is rejected; an outcast,
468,468.0,parley,to talk or confer,
469,469.0,parody,a humorous imitation,
470,470.0,parry,"to ward off, avoid, or evade",
471,471.0,parsimonious,extremely reluctant to spend money; frugal and stingy,
472,472.0,partisan,tending to favor one group or one way of thinking,
473,473.0,pastiche,"a work that is a mixture of styles, materials, or ources",
474,474.0,patriarch,the male head of a family,
475,475.0,paucity,an insufficient quantity or number,
476,476.0,peccadillo,a minor fault or sin,
477,477.0,pedagogical,relating to education or teaching,
478,478.0,pedantic,overly focused on small details while teaching or learning,
479,479.0,pejorative,a word that is derogatory or belittling,
480,480.0,penchant,a strong liking,
481,481.0,penitent,feeling or expressing remorse for misdeeds,
482,482.0,penurious,extremely reluctant to spend money; stingy and frugal or extremely poor,
483,483.0,peregrinate,to travel,
484,484.0,perfidious,tending to betray,
485,485.0,perfunctory,"done only as a matter of routine, with indifference and a lack of enthusiasm",
486,486.0,peripatetic,traveling about,
487,487.0,permeate,to spread throughout,
488,488.0,pernicious,exceedingly harmful,
489,489.0,perquisite,a payment or benefit in addition to one's regular pay,
490,490.0,perspicacity,intelligence manifested by being astute,
491,491.0,peruse,to read,
492,492.0,pervasive,spreading or spread throughout,
493,493.0,petulant,easily irritated over small issues,
494,494.0,phalanx,a closely massed group,
495,495.0,philanthropist,a person who makes charitable donations intended to increase human well-being,
496,496.0,philistine,"a person who resists culture, the arts, or intellectual pursuits",
497,497.0,phlegmatic,unemotional; calm,
498,498.0,picayune,small and of little importance,
499,499.0,pious,religiously devoted,
500,500.0,pith,the essential part,
501,501.0,pithy,brief but meaningful,
502,502.0,placid,calm,
503,503.0,platitude,remark repeated too often,
504,504.0,plebeian,of the common people; lacking sophistication,
505,505.0,plethora,overabundance,
506,506.0,pliant,capable of being bent or capable of being influenced,
507,507.0,plucky,brave,
508,508.0,polemical,controversial; causing oppositition,
509,509.0,politic,"ingenious, wise, or diplomatic",
510,510.0,polyglot,"able to speak, read, or write in many languages",
511,511.0,populist,a person who supports the rights and powers of the common people,
512,512.0,posit,to assume as fact; to put in place,
513,513.0,potentate,a powerful ruler,
514,514.0,pragmatic,practical; guided by practice rather than theory,
515,515.0,prattle,to babble,
516,516.0,precipitate,to bring about abruptly,
517,517.0,precis,a short summary,
518,518.0,precocious,advancement in development or maturity (especially in mental aptitude),
519,519.0,predilection,a preference,
520,520.0,prescience,knowledge of events before they happen,
521,521.0,pretense,a false act intending to deceieve,
522,522.0,prevaricate,to lie or deceieve,
523,523.0,pristine,"pure, clean, or unused",
524,524.0,probity,honesty and integrity,
525,525.0,proclivity,a natural tendency,
526,526.0,prodigal,recklessly wasteful or lavishly abundant,
527,527.0,prodigy,"a person, often a child, who is extraordinarily gifted or talented",
528,528.0,profligate,shamelessly immoral or recklessly wasteful,
529,529.0,progenitor,a direct ancestor or originator,
530,530.0,proletarian,of the working class,
531,531.0,proliferate,to grow rapidly,
532,532.0,propensity,a natural tendency,
533,533.0,propitiate,to calm or pacify,
534,534.0,propriety,accepted or appropriate standards,
535,535.0,prosaic,dull and lacking excitement,
536,536.0,proselytize,"to convert someone to another belief, religion, party, or cause",
537,537.0,provincial,unsophisticated and limited; associated with the country,
538,538.0,prudent,careful and sensible,
539,539.0,puerile,childish; immature,
540,540.0,pugilist,a person who fights with his fists; a boxer,
541,541.0,pugnacious,tending to quarrel or fight easily,
542,542.0,pulchritude,beauty,
543,543.0,punctilious,marked by precise accordance with details,
544,544.0,pundit,a critic or expert,
545,545.0,pungent,sharp; biting,
546,546.0,pusillanimous,timid; cowardly,
547,547.0,putrefy,to decay,
548,548.0,quaff,to drink a beverage,
549,549.0,quell,to put an end to,
550,550.0,querulous,complaining,
551,551.0,quiescent,being quiet or still or inactive,
552,552.0,quixotic,not sensible about practical matters; idealistic and unrealistic,
553,553.0,quotidian,daily or commonplace,
554,554.0,raconteur,a skilled storyteller,
555,555.0,raiment,clothes,
556,556.0,rancorous,showing deep-seated resentment,
557,557.0,raucous,unpleasantly loud and harsh,
558,558.0,raze,to tear down,
559,559.0,rebuke,to sharply criticize or reprimand,
560,560.0,rebut,to prove false using evidence,
561,561.0,recalcitrant,stubbornly resistant to authority or control,
562,562.0,recondite,difficult to understand without special knowledge,
563,563.0,redoubtable,worthy of fear and respect,
564,564.0,redress,to correct or to relieve,
565,565.0,refulgent,radiant; shining,
566,566.0,refute,to prove to be false; to deny as true,
567,567.0,rejoinder,a response,
568,568.0,relegate,to assign to a less important position; to demote,
569,569.0,remiss,careless and neglectful,
570,570.0,remuneration,payment,
571,571.0,renounce,to give up; to turn away from,
572,572.0,repast,a meal,
573,573.0,replete,filled; complete,
574,574.0,repose,state of calmness; peace,
575,575.0,reprehensible,deserving of punishment,
576,576.0,reproach,to blame; to express criticism towards,
577,577.0,repudiate,to reject,
578,578.0,repugnant,offensive,
579,579.0,requite,to repay or retaliate,
580,580.0,rescind,to revoke or repeal,
581,581.0,restive,nervous; restless; impatient with authority,
582,582.0,reticent,inclined to keep quiet and private,
583,583.0,revere,to regard with respect and love,
584,584.0,reviler,a person who uses abusive language,
585,585.0,rhapsodize,to talk with great enthusiasm,
586,586.0,rhetoric,skill in using language to persuade; empty talk,
587,587.0,ribald,vulgar,
588,588.0,rococo,"ornate style in language, music, etc.",
589,589.0,sacrosanct,sacred; not to be criticized or violated,
590,590.0,sagacious,acutely insightful and wise,
591,591.0,sage,a person who is very wise,
592,592.0,salient,easily observable; prominent,
593,593.0,salubrious,healthy; wholesome,
594,594.0,sanctimonious,being hypocritically religious or righteous,
595,595.0,sanguine,confidently optimistic and cheerful,
596,596.0,sardonic,characterized by bitter mocking,
597,597.0,satiate,to fill to satisfaction,
598,598.0,schism,division of a group into opposing factions,
599,599.0,scintillating,brilliantly clever or flashy and exciting,
600,600.0,scoff,to laugh at and show open disrespect,
601,601.0,scrupulous,abiding by morals or strict rules,
602,602.0,sedition,instigation of rebellion,
603,603.0,sedulous,marked by care and persistent effort,
604,604.0,sentient,experiencing sense perception and consciousness,
605,605.0,seraphic,of an angel or celestial being,
606,606.0,sibilant,having a hissing sound,
607,607.0,sinecure,a paid job with little work,
608,608.0,slake,"to relieve thirst, hunger, desire, etc.; to make less intense",
609,609.0,sobriquet,a nickname,
610,610.0,solecism,"an error, especially in grammar",
611,611.0,solicitious,"anxious, eager, or worried",
612,612.0,solvent,able to meet financial obligations,
613,613.0,somnolent,sleepy or drowsy,
614,614.0,sonorous,"full and loud and deep, as a sound",
615,615.0,sophistry,a false argument meant to trick someone,
616,616.0,soporific,tending to make sleepy or drowsy,
617,617.0,Spartan,strict; simple; serious,
618,618.0,specious,1. plausible but false 2. deceptively pleasing,
619,619.0,sportive,playful,
620,620.0,spurious,false; not legitimate,
621,621.0,squalid,filthy and repulsive,
622,622.0,stasis,state of inaction or lack of progress,
623,623.0,stentorian,very loud,
624,624.0,stevedore,a laborer who loads and unloads vessels in a port,
625,625.0,stifle,to stop or hold back,
626,626.0,stigma,a mark of disgrace,
627,627.0,stoic,free from emotion; unmoved,
628,628.0,stolid,unemotional; unmoved,
629,629.0,stricture,a criticism,
630,630.0,stultify,"to make one appear foolish, stupid, or useless",
631,631.0,stymie,to stump or hinder,
632,632.0,sublime,of high value; supreme,
633,633.0,subterfuge,something intended to deceive,
634,634.0,subtle,difficult to detect,
635,635.0,subversive,supporting the overthrowing of a government,
636,636.0,succinct,expressed in few words; concise,
637,637.0,sully,to make dirty or unpure,
638,638.0,supercilious,arrogantly disdainful,
639,639.0,superfluous,having more than needed or wanted; excessive,
640,640.0,supplant,to replace or take the place of,
641,641.0,surfeit,surplus; extra,
642,642.0,surly,bad tempered or rude,
643,643.0,surreptitious,stealthy and secret,
644,644.0,sybarite,a person devoted to luxury,
645,645.0,sycophant,a person who flatters others in order to gain personal favor;a brown-noser,
